source,year,date,shift,set_name,question_id,question_number,question_text,passage_text,case_text,option_a,option_b,option_c,option_d,correct_option,answer_source,question_type,difficulty_estimate,unit,chapter,subtopic,ncert_keyword_match,repeated_concept_cluster,confidence_score,source_url,raw_file_path,needs_review
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f1a573d5f9abb9dce0,35,---------- refers to storing and assorting products in order to create time utility in them.,,,Warehousing,Transportation,Communication,Order Processing,A,AfterBoards CUET Business Studies PYQs linked file,chronology,easy,Unit VII,Directing,communication,communication,Directing :: communication,0.43,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f1a573d5f9abb9dce4,36,The deliberate action of an enterprise to enhance and protect its image in society is known as:,,,Marketing,Public relations,Sales promotion,Advertising,B,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit X,Marketing,promotion,"promotion, advertising, sales promotion, public relations",Marketing :: promotion,0.84,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f1a573d5f9abb9dce8,37,Which Consumer Right gives freedom to consumers to access a variety of products at competitive prices?,,,Right to Safety,Right to be Informed,Right to be Heard,Right to Choose/ be assured,D,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit XI,Consumer Protection,consumer rights,"right to safety, right to be informed, right to choose, right to be heard",Consumer Protection :: consumer rights,0.92,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f1a573d5f9abb9dcec,38,"""Adherence to the principles of management adds to knowledge, ability and understanding of managerial situations and circumstances"".
Identify the point of importance of principles of management stated here.",,,Effective administration,Scientific decisions,"Management training, education and research",Providing mangers with useful insights into reality,D,AfterBoards CUET Business Studies PYQs linked file,application,easy,Unit II,Principles of Management,nature of principles,principles of management,Principles of Management :: nature of principles,0.49,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f1a573d5f9abb9dcf0,39,Which of the following is not a competency of an entrepreneur?,,,Efficiency orientation,Commitment to work contract,Persistence,Non concern for employee welfare,D,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit I,Nature and Significance of Management,importance of management,efficiency,Nature and Significance of Management :: importance of management,0.34,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f1a573d5f9abb9dcf4,40,The aspects of staffing do not include:,,,Training,Selection,Assignment of work,Recruitment,C,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit VI,Staffing,staffing process,"recruitment, selection, training",Staffing :: staffing process,0.73,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f1a573d5f9abb9dcf8,41,"""The sales persons are allowed to give a maximum of 5% discount, whereas the decision to give an extra discount rests with Aahana"".
Identify the Principle of Management highlighted here.","After completing her Bachelor's in Fashion Designing from a well known college in London, Aahana opened a boutique in a posh market in Delhi. She divided the work into smaller units and each employee was well-trained to perform his/her work efficiently. The sales persons are allowed to close a deal with the buyers by giving a maximum of 5% discount. Whereas the decision to give any further discount rests with Aahana as the final authority.

In the earlier period of her business venture, employees were asked to put in extra hours of work. In return, she had promised to give them a special incentive within a year. Therefore, when the business was doing well, she honored her commitment by giving a bonus to her employees. She also instructed employees that communication from top to bottom should follow the official lines of command.

However, she tends to be more biased towards her female employees when it comes to resolving conflicts among employees.","After completing her Bachelor's in Fashion Designing from a well known college in London, Aahana opened a boutique in a posh market in Delhi. She divided the work into smaller units and each employee was well-trained to perform his/her work efficiently. The sales persons are allowed to close a deal with the buyers by giving a maximum of 5% discount. Whereas the decision to give any further discount rests with Aahana as the final authority.

In the earlier period of her business venture, employees were asked to put in extra hours of work. In return, she had promised to give them a special incentive within a year. Therefore, when the business was doing well, she honored her commitment by giving a bonus to her employees. She also instructed employees that communication from top to bottom should follow the official lines of command.

However, she tends to be more biased towards her female employees when it comes to resolving conflicts among employees.",Initiative,Authority and Responsibility,Unity of Command,Unity of Direction,B,AfterBoards CUET Business Studies PYQs linked file,case-based,medium,Unit II,Principles of Management,Fayol principles,"authority, unity of command, unity of direction",Principles of Management :: Fayol principles,0.81,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f1a573d5f9abb9dcfc,42,"""She instructed employees that communication from top to bottom should follow the official lines of command"". Identify the Principle of Management here.","After completing her Bachelor's in Fashion Designing from a well known college in London, Aahana opened a boutique in a posh market in Delhi. She divided the work into smaller units and each employee was well-trained to perform his/her work efficiently. The sales persons are allowed to close a deal with the buyers by giving a maximum of 5% discount. Whereas the decision to give any further discount rests with Aahana as the final authority.

In the earlier period of her business venture, employees were asked to put in extra hours of work. In return, she had promised to give them a special incentive within a year. Therefore, when the business was doing well, she honored her commitment by giving a bonus to her employees. She also instructed employees that communication from top to bottom should follow the official lines of command.

However, she tends to be more biased towards her female employees when it comes to resolving conflicts among employees.","After completing her Bachelor's in Fashion Designing from a well known college in London, Aahana opened a boutique in a posh market in Delhi. She divided the work into smaller units and each employee was well-trained to perform his/her work efficiently. The sales persons are allowed to close a deal with the buyers by giving a maximum of 5% discount. Whereas the decision to give any further discount rests with Aahana as the final authority.

In the earlier period of her business venture, employees were asked to put in extra hours of work. In return, she had promised to give them a special incentive within a year. Therefore, when the business was doing well, she honored her commitment by giving a bonus to her employees. She also instructed employees that communication from top to bottom should follow the official lines of command.

However, she tends to be more biased towards her female employees when it comes to resolving conflicts among employees.",Discipline,Order,Equity,Scalar Chain,D,AfterBoards CUET Business Studies PYQs linked file,case-based,medium,Unit II,Principles of Management,Fayol principles,"authority, discipline, scalar chain",Principles of Management :: Fayol principles,0.80,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f1a573d5f9abb9dd00,43,"""She divided the work in smaller units and each employee is well trained to perform his/her work efficiently"".

Which Principle of Management is followed here?","After completing her Bachelor's in Fashion Designing from a well known college in London, Aahana opened a boutique in a posh market in Delhi. She divided the work into smaller units and each employee was well-trained to perform his/her work efficiently. The sales persons are allowed to close a deal with the buyers by giving a maximum of 5% discount. Whereas the decision to give any further discount rests with Aahana as the final authority.

In the earlier period of her business venture, employees were asked to put in extra hours of work. In return, she had promised to give them a special incentive within a year. Therefore, when the business was doing well, she honored her commitment by giving a bonus to her employees. She also instructed employees that communication from top to bottom should follow the official lines of command.

However, she tends to be more biased towards her female employees when it comes to resolving conflicts among employees.","After completing her Bachelor's in Fashion Designing from a well known college in London, Aahana opened a boutique in a posh market in Delhi. She divided the work into smaller units and each employee was well-trained to perform his/her work efficiently. The sales persons are allowed to close a deal with the buyers by giving a maximum of 5% discount. Whereas the decision to give any further discount rests with Aahana as the final authority.

In the earlier period of her business venture, employees were asked to put in extra hours of work. In return, she had promised to give them a special incentive within a year. Therefore, when the business was doing well, she honored her commitment by giving a bonus to her employees. She also instructed employees that communication from top to bottom should follow the official lines of command.

However, she tends to be more biased towards her female employees when it comes to resolving conflicts among employees.",Decentralisation,Discipline,Division of Work,Order,C,AfterBoards CUET Business Studies PYQs linked file,case-based,medium,Unit II,Principles of Management,Fayol principles,"division of work, authority, discipline",Principles of Management :: Fayol principles,0.79,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f1a573d5f9abb9dd04,44,"""She tends to be biased towards female employees when it comes to resolving conflicts among employees."" Which principle is being violated here?","After completing her Bachelor's in Fashion Designing from a well known college in London, Aahana opened a boutique in a posh market in Delhi. She divided the work into smaller units and each employee was well-trained to perform his/her work efficiently. The sales persons are allowed to close a deal with the buyers by giving a maximum of 5% discount. Whereas the decision to give any further discount rests with Aahana as the final authority.

In the earlier period of her business venture, employees were asked to put in extra hours of work. In return, she had promised to give them a special incentive within a year. Therefore, when the business was doing well, she honored her commitment by giving a bonus to her employees. She also instructed employees that communication from top to bottom should follow the official lines of command.

However, she tends to be more biased towards her female employees when it comes to resolving conflicts among employees.","After completing her Bachelor's in Fashion Designing from a well known college in London, Aahana opened a boutique in a posh market in Delhi. She divided the work into smaller units and each employee was well-trained to perform his/her work efficiently. The sales persons are allowed to close a deal with the buyers by giving a maximum of 5% discount. Whereas the decision to give any further discount rests with Aahana as the final authority.

In the earlier period of her business venture, employees were asked to put in extra hours of work. In return, she had promised to give them a special incentive within a year. Therefore, when the business was doing well, she honored her commitment by giving a bonus to her employees. She also instructed employees that communication from top to bottom should follow the official lines of command.

However, she tends to be more biased towards her female employees when it comes to resolving conflicts among employees.",Discipline,Order,Equity,Unity of Direction,C,AfterBoards CUET Business Studies PYQs linked file,case-based,medium,Unit II,Principles of Management,Fayol principles,"authority, discipline, unity of direction",Principles of Management :: Fayol principles,0.80,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
